q'	M2	M4	M4/q'^2
0.000360964	1.644717E-08	1.260291E-15	9.672598E-09
0.000423373	2.367017E-08	2.488846E-15	1.388519E-08
0.000492346	3.342213E-08	4.743194E-15	1.956726E-08
0.000568211	4.636645E-08	8.750046E-15	2.710136E-08
0.000651295	6.327373E-08	1.566430E-14	3.692798E-08
0.000741928	8.501847E-08	2.726954E-14	4.953981E-08
0.000840438	1.125663E-07	4.624321E-14	6.546914E-08
0.000947151	1.469488E-07	7.649128E-14	8.526553E-08
0.001060000	1.892241E-07	1.235460E-13	1.099555E-07
0.001190000	2.407063E-07	1.958398E-13	1.382952E-07
0.001320000	3.018971E-07	3.024586E-13	1.735874E-07
0.001460000	3.734451E-07	4.560323E-13	2.139390E-07
0.001620000	4.561226E-07	6.743683E-13	2.569609E-07
0.001780000	5.492001E-07	9.726450E-13	3.069830E-07
0.001950000	5.999831E-07	1.165747E-12	3.065739E-07
0.002140000	7.072816E-07	1.622962E-12	3.543894E-07
0.002330000	8.221737E-07	2.208686E-12	4.068385E-07
0.002540000	9.426192E-07	2.941957E-12	4.560043E-07
0.002760000	1.065512E-06	3.829286E-12	5.026893E-07
0.002990000	1.187866E-06	4.873605E-12	5.451399E-07
0.003230000	1.306181E-06	6.059723E-12	5.808282E-07
0.003490000	1.417597E-06	7.367848E-12	6.049087E-07
0.003760000	1.519706E-06	8.766933E-12	6.201147E-07
0.004040000	1.610739E-06	1.021729E-11	6.259979E-07
0.004330000	1.689478E-06	1.166741E-11	6.222981E-07
0.004650000	1.755847E-06	1.307918E-11	6.048875E-07
0.004970000	1.810042E-06	1.440279E-11	5.830876E-07
0.005310000	1.852997E-06	1.560562E-11	5.534673E-07
0.005660000	1.885819E-06	1.665541E-11	5.199032E-07
0.005850000	1.901629E-06	1.719646E-11	5.024900E-07
0.007970000	1.925035E-06	1.816042E-11	2.858968E-07
